#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -0.18530483E+02
MO:13   -0.84913726E+00
13    1    -0.80497892E-02 
13    2    0.17680104E-01 
13    3    0.66404432E-02 
13    4    -0.96160240E-03 
13    5    0.40085825E-04 
13    6    -0.81544027E-02 
13    7    0.19611429E-01 
13    8    0.66835717E-02 
13    9    -0.49598754E-02 
13    10    0.30965638E-04 
13    11    -0.30896457E-01 
13    12    0.73897934E-01 
13    13    0.22138121E-01 
13    14    -0.29428632E-01 
13    15    0.24960015E-03 
13    16    -0.12120876E+00 
13    17    0.26364933E+00 
13    18    0.12557904E+00 
13    19    0.70418510E-02 
13    20    -0.15152207E-02 
13    21    -0.25060719E-01 
13    22    0.62478434E-01 
13    23    0.15673959E-01 
13    24    0.22211152E-01 
13    25    0.16840474E-03 
13    26    -0.10287760E-01 
13    27    0.24094712E-01 
13    28    0.95864923E-02 
13    29    0.57528936E-02 
13    30    0.52710197E-04 
13    31    0.23855316E-02 
13    32    0.13360992E-01 
13    33    0.10271055E-01 
13    34    0.29564536E-02 
13    35    -0.20932747E+00 
13    36    0.66478842E+00 
13    37    -0.80180975E-01 
13    38    0.24332675E-02 
13    39    0.70817618E-01 
13    40    0.11782029E+00 
13    41    0.11649960E+00 
13    42    0.73277776E-04 
13    43    0.74077447E-05 
13    44    0.28064260E-02 
13    45    0.39211097E-03 
13    46    0.35572488E-05 
13    47    0.78678289E-03 
13    48    -0.26810335E-02 
13    49    -0.98405545E-04 
13    50    -0.90687771E-03 
13    51    0.42620683E-06 
13    52    0.42980911E-03 
13    53    -0.14506547E-02 
13    54    0.10044135E-03 
13    55    0.59735149E-03 
13    56    0.41063942E-06 
MO:14   -0.73735456E+00
14    1    -0.14050145E+00 
14    2    0.33412262E+00 
14    3    0.71877074E-01 
14    4    -0.30446106E-01 
14    5    0.64015217E-03 
14    6    -0.91225634E-01 
14    7    0.22739534E+00 
14    8    0.87034324E-03 
14    9    -0.79580131E-01 
14    10    0.25373246E-03 
14    11    -0.57411291E-01 
14    12    0.14042019E+00 
14    13    -0.31537851E-01 
14    14    -0.29034538E-01 
14    15    0.57924283E-04 
14    16    -0.37551897E-01 
14    17    0.10345930E+00 
14    18    -0.81580081E-01 
14    19    -0.48756676E-02 
14    20    0.54151675E-03 
14    21    -0.10614922E+00 
14    22    0.25272292E+00 
14    23    -0.88356367E-01 
14    24    0.33064186E-01 
14    25    -0.44524738E-04 
14    26    -0.14757939E+00 
14    27    0.35331028E+00 
14    28    0.53188871E-01 
14    29    0.93810472E-01 
14    30    0.69022567E-03 
14    31    0.36986442E-01 
14    32    0.25119022E-01 
14    33    0.38016202E-01 
14    34    0.60087631E-01 
14    35    0.42323964E-01 
14    36    -0.14045166E+00 
14    37    -0.22995915E-01 
14    38    -0.76862285E-03 
14    39    -0.17997281E-01 
14    40    -0.36881263E-01 
14    41    -0.35891749E-01 
14    42    -0.77666500E-02 
14    43    0.31308363E-01 
14    44    0.82471261E-01 
14    45    0.21939821E-02 
14    46    0.12313370E-03 
14    47    0.15637585E-01 
14    48    -0.56355650E-01 
14    49    0.62556023E-02 
14    50    -0.18296502E-01 
14    51    0.20653740E-04 
14    52    0.12643139E-01 
14    53    -0.45440104E-01 
14    54    0.69902742E-02 
14    55    0.15330768E-01 
14    56    0.16495563E-04 
MO:15   -0.63616195E+00
15    1    -0.33532720E-01 
15    2    0.88558727E-01 
15    3    0.55335395E-02 
15    4    0.17877415E+00 
15    5    0.93053675E-04 
15    6    -0.14106540E+00 
15    7    0.36936923E+00 
15    8    0.32895818E-01 
15    9    -0.31435220E-01 
15    10    0.50008924E-03 
15    11    -0.12669739E+00 
15    12    0.33601182E+00 
15    13    -0.38226326E-01 
15    14    -0.35516617E-02 
15    15    0.24128236E-03 
15    16    -0.32748662E-01 
15    17    0.88909462E-01 
15    18    -0.25396215E-01 
15    19    0.11555003E+00 
15    20    -0.54881888E-03 
15    21    0.10537674E+00 
15    22    -0.27010903E+00 
15    23    0.98313586E-01 
15    24    0.30884865E-01 
15    25    -0.11674726E-03 
15    26    0.12447992E+00 
15    27    -0.31225750E+00 
15    28    -0.86736957E-01 
15    29    0.17511761E-01 
15    30    -0.80118954E-03 
15    31    0.91959021E-01 
15    32    0.95946646E-01 
15    33    -0.65035386E-01 
15    34    -0.81665293E-01 
15    35    0.19422190E-01 
15    36    -0.69556436E-01 
15    37    -0.43959847E-01 
15    38    0.50901462E-01 
15    39    -0.11811167E-01 
15    40    -0.70763642E-02 
15    41    -0.50850099E-01 
15    42    -0.64491331E-02 
15    43    0.25398662E-01 
15    44    0.37035877E-01 
15    45    -0.91319131E-02 
15    46    0.53811401E-04 
15    47    -0.19313663E-02 
15    48    0.74492472E-02 
15    49    0.36185421E-02 
15    50    0.27439680E-02 
15    51    0.12781485E-05 
15    52    0.13488893E-01 
15    53    -0.51630201E-01 
15    54    0.73801245E-02 
15    55    0.13714474E-01 
15    56    0.15086492E-04 
MO:16   -0.61591589E+00
16    1    0.11971066E+00 
16    2    -0.31806316E+00 
16    3    0.31689848E-01 
16    4    -0.20096180E-01 
16    5    -0.33257292E-03 
16    6    0.53263615E-01 
16    7    -0.14197618E+00 
16    8    0.97708640E-01 
16    9    0.64635701E-01 
16    10    0.10856816E-03 
16    11    -0.93491719E-01 
16    12    0.25027336E+00 
16    13    0.67592263E-01 
16    14    -0.62743129E-01 
16    15    -0.17489639E-03 
16    16    -0.12847535E+00 
16    17    0.36272713E+00 
16    18    -0.81420941E-01 
16    19    0.26772101E-01 
16    20    -0.31030454E-02 
16    21    -0.90614659E-01 
16    22    0.24631172E+00 
16    23    0.43153429E-01 
16    24    0.42987353E-01 
16    25    -0.17106765E-03 
16    26    0.21040706E-01 
16    27    -0.59014324E-01 
16    28    0.11338746E+00 
16    29    -0.68841119E-01 
16    30    0.25709290E-03 
16    31    -0.38705677E-01 
16    32    0.68892682E-01 
16    33    0.61023675E-01 
16    34    -0.16324086E-01 
16    35    0.64004510E-01 
16    36    -0.23269579E+00 
16    37    -0.19060591E+00 
16    38    0.15893786E-01 
16    39    -0.43788381E-01 
16    40    -0.10497633E+00 
16    41    -0.11705303E+00 
16    42    0.31879019E-01 
16    43    -0.12531520E+00 
16    44    -0.16963542E+00 
16    45    0.19262344E-02 
16    46    -0.24926175E-03 
16    47    -0.25579974E-01 
16    48    0.99035799E-01 
16    49    -0.27406686E-01 
16    50    0.22670384E-01 
16    51    -0.45308067E-04 
16    52    -0.27289391E-01 
16    53    0.10561037E+00 
16    54    -0.28192975E-01 
16    55    -0.24294754E-01 
16    56    -0.43117111E-04 
MO:17   -0.52826245E+00
17    1    0.58137552E-01 
17    2    -0.17553089E+00 
17    3    0.14360947E+00 
17    4    0.56751722E-01 
17    5    0.58366980E-03 
17    6    -0.71425502E-01 
17    7    0.20271499E+00 
17    8    0.85588457E-01 
17    9    0.47247380E-01 
17    10    0.98524538E-03 
17    11    -0.47035117E-01 
17    12    0.13413618E+00 
17    13    -0.10518486E+00 
17    14    0.78929741E-01 
17    15    0.26464149E-02 
17    16    0.10351250E+00 
17    17    -0.29969334E+00 
17    18    -0.11512877E+00 
17    19    0.12026262E-01 
17    20    0.13637421E-01 
17    21    -0.37686507E-01 
17    22    0.94526138E-01 
17    23    -0.11541984E+00 
17    24    -0.47940288E-01 
17    25    0.19550585E-02 
17    26    -0.26753807E-01 
17    27    0.67984860E-01 
17    28    0.13400621E+00 
17    29    -0.58502171E-01 
17    30    0.11743669E-02 
17    31    0.72988732E-01 
17    32    0.66837330E-01 
17    33    0.23977787E-01 
17    34    0.18878353E-01 
17    35    -0.29663899E-01 
17    36    0.12181619E+00 
17    37    0.34234006E+00 
17    38    0.16171093E-01 
17    39    0.49486611E-01 
17    40    0.15695222E+00 
17    41    0.13619869E+00 
17    42    0.70672605E-01 
17    43    -0.28751696E+00 
17    44    -0.26229682E+00 
17    45    0.17024527E-02 
17    46    -0.24533532E-03 
