#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.44851525
26    27    0.202728188 
26    28    -0.00212088117 
26    29    -0.109227252 
26    30    0.294083889 
MO:27   0.204259549
27    1    0.195236534 
27    2    -0.277696561 
27    3    0.0708895522 
27    4    -0.00358568387 
27    5    0.237147079 
27    6    0.160718557 
27    7    -0.00495288225 
27    8    0.0217250326 
27    9    0.0622942161 
27    10    -0.0906809344 
27    11    0.473938769 
27    12    -0.0124906515 
27    13    -0.244631126 
27    14    -0.319770336 
27    15    0.150768503 
27    16    0.0058466939 
27    17    -0.22495867 
27    18    0.142289302 
27    19    -0.0712766682 
27    20    -0.0122598615 
27    21    -0.0824590407 
27    22    -0.0263160843 
27    23    0.369516916 
27    24    0.0108446553 
27    25    -0.170186923 
27    26    -0.192853232 
27    27    0.0350485183 
27    28    0.187188211 
27    29    0.224566128 
27    30    0.048307782 
MO:28   0.208426109
28    1    0.120212941 
28    2    -0.0316450165 
28    3    -0.125360053 
28    4    -0.00147484261 
28    5    -0.0440459664 
28    6    0.0611425918 
28    7    0.080125188 
28    8    -0.00328455304 
28    9    -0.212706539 
28    10    -0.101928944 
28    11    -0.119595518 
28    12    -0.00344602541 
28    13    -0.163264831 
28    14    0.440399884 
28    15    -0.21009793 
28    16    0.00779888072 
28    17    0.0427237448 
28    18    0.549613175 
28    19    0.280136272 
28    20    -0.0123869732 
28    21    0.232724394 
28    22    0.0157837627 
28    23    0.306844489 
28    24    -0.0024391477 
28    25    -0.15724524 
28    26    0.0544456686 
28    27    0.211458966 
28    28    0.0595385512 
28    29    -0.00256244066 
28    30    -0.122094927 
MO:29   0.213079742
29    1    0.11298221 
29    2    0.49061795 
29    3    -0.315334991 
29    4    -0.0125425364 
29    5    -0.12756365 
29    6    0.500340289 
29    7    0.208991977 
29    8    0.0138251144 
29    9    -0.142020559 
29    10    -0.106034197 
29    11    0.295459971 
29    12    -0.00576740969 
29    13    -0.0611053822 
29    14    -0.171980657 
29    15    0.0148282655 
29    16    0.000520565493 
29    17    0.000314971048 
29    18    -0.128371965 
29    19    0.0508360916 
29    20    0.00560459741 
29    21    0.182099399 
29    22    0.0684310063 
29    23    -0.264326297 
29    24    -0.0099258184 
29    25    -0.0882646396 
29    26    0.0416331587 
29    27    0.170063391 
29    28    0.0919268775 
29    29    -0.07126212 
29    30    -0.0728020918 
MO:30   0.225150317
30    1    -0.15102717 
30    2    -0.193716829 
30    3    -0.257513069 
30    4    -0.00880079742 
30    5    0.1796702 
30    6    -0.160768395 
30    7    0.304838834 
30    8    -0.00623971263 
30    9    -0.123674808 
30    10    0.369562653 
30    11    0.0358188614 
30    12    0.0186214749 
30    13    0.125702429 
30    14    -0.200785636 
30    15    -0.295392265 
30    16    0.0111690901 
30    17    -0.190193356 
30    18    -0.136791384 
30    19    0.298686482 
30    20    -0.00122934215 
30    21    0.129894825 
30    22    0.373051619 
30    23    0.0691136028 
30    24    -0.0127818048 
30    25    -0.118519139 
30    26    0.115737334 
30    27    -0.171576396 
30    28    0.158420148 
30    29    -0.099111677 
30    30    0.168227119 
