#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -0.18515571E+02
6    17    -0.13290042E-03 
6    18    -0.25999674E-03 
6    19    0.40070415E-07 
6    20    -0.15340559E-05 
6    21    -0.19324636E-03 
6    22    0.71622309E-03 
6    23    0.35179902E-03 
6    24    -0.72761749E-04 
6    25    -0.20418496E-05 
6    26    -0.34517198E-01 
6    27    -0.11500244E-01 
6    28    -0.32253054E-02 
6    29    0.59117588E-02 
6    30    0.58013148E-05 
6    31    0.43899850E-03 
6    32    -0.10687925E-03 
6    33    -0.10693977E-03 
6    34    0.43903175E-03 
6    35    0.76901761E-05 
6    36    -0.67373505E-04 
6    37    -0.46374940E-04 
6    38    -0.58485690E-08 
6    39    -0.45461432E-05 
6    40    0.44622655E-05 
6    41    0.44653695E-05 
6    42    0.92567035E-03 
6    43    -0.73604875E-02 
6    44    0.50875754E-02 
6    45    -0.21232327E-06 
6    46    -0.77163644E-05 
6    47    0.19389689E-04 
6    48    0.99510997E-04 
6    49    -0.40374132E-04 
6    50    -0.12062126E-03 
6    51    0.19631819E-07 
6    52    0.19380413E-04 
6    53    0.99489693E-04 
6    54    -0.40419603E-04 
6    55    0.12055540E-03 
6    56    0.63863675E-07 
MO:7   -0.97565235E+01
7    1    0.64381655E-03 
7    2    -0.14977028E-03 
7    3    0.60141949E-04 
7    4    -0.81297727E-02 
7    5    0.10261245E-06 
7    6    -0.69053173E+00 
7    7    -0.32241992E-01 
7    8    0.97575946E-03 
7    9    -0.93654296E-03 
7    10    -0.13642249E-04 
7    11    0.31301055E-01 
7    12    0.85099969E-02 
7    13    0.46934891E-02 
7    14    0.18519118E-05 
7    15    -0.19481139E-04 
7    16    -0.44839970E-05 
7    17    0.15849439E-04 
7    18    0.51950639E-05 
7    19    0.48797891E-03 
7    20    -0.35674449E-08 
7    21    -0.32219195E-01 
7    22    -0.87388255E-02 
7    23    -0.48181092E-02 
7    24    0.96397244E-05 
7    25    0.20208431E-04 
7    26    0.70821863E+00 
7    27    0.33070814E-01 
7    28    -0.10058774E-02 
7    29    -0.95904671E-03 
7    30    0.14023599E-04 
7    31    0.64962926E-02 
7    32    -0.48160898E-03 
7    33    0.49265845E-03 
7    34    -0.66659584E-02 
7    35    0.23246418E-06 
7    36    -0.16793603E-05 
7    37    -0.13687389E-05 
7    38    -0.75868109E-04 
7    39    -0.49553691E-07 
7    40    0.15970588E-04 
7    41    -0.16603865E-04 
7    42    0.28761379E-06 
7    43    0.16676007E-05 
7    44    -0.74687313E-07 
7    45    0.12472085E-03 
7    46    -0.10152643E-07 
7    47    -0.55038121E-05 
7    48    0.57575811E-04 
7    49    -0.79060296E-05 
7    50    0.33631247E-04 
7    51    -0.14642947E-06 
7    52    0.57850276E-05 
7    53    -0.58462123E-04 
7    54    0.10010384E-04 
7    55    0.32798243E-04 
7    56    0.13078978E-06 
MO:8   -0.97564666E+01
8    1    0.50934606E-01 
8    2    -0.11773573E-01 
8    3    0.47475824E-02 
8    4    0.10277322E-03 
8    5    -0.13521454E-04 
8    6    0.70713019E+00 
8    7    0.33128926E-01 
8    8    -0.12271485E-02 
8    9    0.88480550E-03 
8    10    0.15332705E-04 
8    11    -0.37464353E-01 
8    12    -0.91983000E-02 
8    13    -0.49857393E-02 
8    14    -0.32142540E-03 
8    15    0.21884606E-04 
8    16    -0.35588240E-03 
8    17    0.12673837E-02 
8    18    0.40750012E-03 
8    19    -0.63355501E-05 
8    20    -0.46159746E-06 
8    21    -0.36639836E-01 
8    22    -0.89785946E-02 
8    23    -0.48652767E-02 
8    24    0.32104455E-03 
8    25    0.21538140E-04 
8    26    0.68941746E+00 
8    27    0.32302005E-01 
8    28    -0.12015310E-02 
8    29    -0.86121817E-03 
8    30    0.14969670E-04 
8    31    -0.67742558E-02 
8    32    0.45034429E-03 
8    33    0.43777194E-03 
8    34    -0.66077442E-02 
8    35    0.18694534E-04 
8    36    -0.13621469E-03 
8    37    -0.11022499E-03 
8    38    0.96934144E-06 
8    39    -0.36265297E-05 
8    40    -0.24861388E-04 
8    41    -0.24458754E-04 
8    42    0.23200266E-04 
8    43    0.12879305E-03 
8    44    -0.40872599E-05 
8    45    -0.15634619E-05 
8    46    0.52905540E-08 
8    47    0.10970606E-04 
8    48    -0.34707815E-04 
8    49    0.82341688E-04 
8    50    0.33140987E-04 
8    51    -0.14895631E-06 
8    52    0.10818655E-04 
8    53    -0.33189398E-04 
8    54    0.82073010E-04 
8    55    -0.34003450E-04 
8    56    -0.15424565E-06 
MO:9   -0.97479653E+01
9    1    0.12793880E-03 
9    2    -0.40470654E-05 
9    3    0.57453708E-05 
9    4    0.23996755E-03 
9    5    -0.69100253E-07 
9    6    0.34367711E-01 
9    7    -0.58823145E-02 
9    8    0.48749771E-02 
9    9    0.73208819E-04 
9    10    -0.17287792E-04 
9    11    0.72832823E+00 
9    12    0.33272950E-01 
9    13    0.60561420E-03 
9    14    0.82506648E-03 
9    15    -0.25931321E-04 
9    16    0.50275324E-03 
9    17    -0.55450308E-03 
9    18    -0.20406005E-03 
9    19    0.79799587E-02 
9    20    -0.63490775E-06 
9    21    -0.66937069E+00 
9    22    -0.30552692E-01 
9    23    -0.56029199E-03 
9    24    0.75266625E-03 
9    25    0.23414031E-04 
9    26    -0.31134168E-01 
9    27    0.54109053E-02 
9    28    -0.44672782E-02 
9    29    0.91668652E-04 
9    30    0.15934673E-04 
9    31    -0.12664699E-03 
9    32    -0.68969866E-02 
9    33    0.63264264E-02 
9    34    0.10336135E-03 
9    35    -0.12825062E-05 
9    36    0.24133172E-04 
9    37    0.60070689E-05 
9    38    -0.26974297E-03 
9    39    0.20519545E-05 
9    40    -0.99548511E-04 
9    41    0.82353853E-04 
9    42    0.88193488E-06 
9    43    -0.47433401E-05 
9    44    0.38247712E-05 
9    45    0.64687793E-04 
9    46    0.63550210E-08 
9    47    -0.26245123E-05 
9    48    0.21300525E-05 
9    49    -0.16787274E-04 
9    50    0.17971392E-04 
9    51    0.98829595E-08 
9    52    0.30483593E-05 
9    53    -0.38968762E-05 
9    54    0.18853448E-04 
9    55    0.18592923E-04 
9    56    -0.12912832E-07 
MO:10   -0.97479093E+01
10    1    0.30234215E-02 
10    2    -0.91781291E-04 
10    3    0.13543676E-03 
10    4    -0.10003144E-04 
10    5    -0.16754026E-05 
10    6    0.36704063E-01 
10    7    -0.53544349E-02 
10    8    0.46338956E-02 
10    9    -0.22733842E-03 
10    10    -0.17313546E-04 
10    11    0.66909544E+00 
10    12    0.30884109E-01 
10    13    0.51418229E-03 
10    14    0.82375931E-03 
10    15    -0.27734081E-04 
10    16    0.11895632E-01 
10    17    -0.13145435E-01 
10    18    -0.48356299E-02 
10    19    -0.33674156E-03 
10    20    -0.12761720E-04 
10    21    0.72807724E+00 
10    22    0.33577297E-01 
10    23    0.56357326E-03 
10    24    -0.89030643E-03 
10    25    -0.29711552E-04 
10    26    0.39447838E-01 
10    27    -0.58315438E-02 
10    28    0.50280432E-02 
10    29    0.22070808E-03 
10    30    -0.18897657E-04 
10    31    -0.26907373E-03 
10    32    -0.64789864E-02 
10    33    -0.70367296E-02 
10    34    -0.27856648E-03 
10    35    -0.30492725E-04 
10    36    0.57261355E-03 
10    37    0.14195348E-03 
10    38    0.11416517E-04 
10    39    0.48322505E-04 
10    40    -0.20074612E-03 
10    41    -0.20854215E-03 
10    42    0.20926577E-04 
10    43    -0.11272959E-03 
10    44    0.90789415E-04 
10    45    -0.27343772E-05 
10    46    0.26706093E-06 
10    47    0.51498892E-05 
10    48    -0.21079714E-04 
10    49    0.25250671E-04 
10    50    -0.81947613E-05 
10    51    -0.48350122E-07 
10    52    0.49093293E-05 
10    53    -0.20819848E-04 
10    54    0.23741590E-04 
10    55    0.66460172E-05 
10    56    -0.51564898E-07 
MO:11   -0.10624100E+01
11    1    -0.25674196E-01 
11    2    0.49876417E-01 
11    3    0.32091151E-01 
11    4    -0.76606400E-06 
11    5    -0.13408829E-04 
11    6    -0.42881722E-02 
11    7    0.10098749E-01 
11    8    0.48268119E-02 
11    9    0.46909754E-02 
11    10    -0.23721948E-05 
11    11    -0.43879782E-03 
11    12    0.11424655E-02 
11    13    0.76534236E-03 
11    14    0.70972699E-04 
11    15    -0.22993598E-05 
11    16    -0.18999306E-03 
11    17    0.46058867E-03 
11    18    0.23337098E-03 
11    19    0.16457972E-07 
11    20    0.21889476E-05 
11    21    -0.43883932E-03 
11    22    0.11424860E-02 
11    23    0.76535101E-03 
11    24    -0.70919522E-04 
11    25    -0.23379490E-05 
11    26    -0.42887382E-02 
11    27    0.10100536E-01 
11    28    0.48275036E-02 
11    29    -0.46917180E-02 
11    30    -0.19445696E-05 
11    31    0.25096066E-02 
11    32    0.72897926E-04 
11    33    0.72899126E-04 
11    34    0.25096250E-02 
11    35    -0.25490439E-04 
11    36    0.84793153E-04 
11    37    0.42072180E-04 
11    38    0.97206262E-09 
11    39    0.67536714E-05 
11    40    0.12744163E-04 
11    41    0.12745498E-04 
11    42    -0.18278232E+00 
11    43    0.54360427E+00 
11    44    0.10371168E+00 
11    45    0.40028478E-04 
11    46    0.74608456E-04 
11    47    -0.11267901E+00 
11    48    0.34794667E+00 
11    49    -0.72219798E-01 
11    50    -0.13500018E+00 
11    51    0.48853203E-04 
11    52    -0.11264901E+00 
11    53    0.34785563E+00 
11    54    -0.72196999E-01 
11    55    0.13496490E+00 
11    56    0.74828296E-04 
MO:12   -0.87331967E+00
12    1    -0.32769338E-05 
12    2    0.82114450E-05 
12    3    0.40094662E-05 
12    4    -0.18605392E-01 
12    5    -0.11082965E-05 
12    6    -0.52684917E-02 
12    7    0.11797461E-01 
12    8    0.68741501E-02 
12    9    0.11568892E-02 
12    10    -0.32619617E-07 
12    11    -0.69768067E-03 
12    12    0.20423057E-02 
12    13    0.12864088E-02 
12    14    -0.12434443E-04 
12    15    -0.33910308E-05 
12    16    -0.22664910E-06 
12    17    0.51661814E-06 
12    18    0.97436981E-07 
12    19    -0.38338736E-03 
12    20    0.43265136E-08 
12    21    0.69711909E-03 
12    22    -0.20408860E-02 
12    23    -0.12858201E-02 
12    24    -0.12802305E-04 
12    25    0.34579038E-05 
12    26    0.52665789E-02 
12    27    -0.11792791E-01 
12    28    -0.68725591E-02 
12    29    0.11552410E-02 
12    30    -0.74039466E-06 
12    31    0.65532843E-02 
12    32    0.17468604E-03 
12    33    -0.17450605E-03 
12    34    -0.65508079E-02 
12    35    -0.13175163E-06 
12    36    0.41903629E-06 
12    37    0.75816493E-07 
12    38    -0.24604907E-04 
12    39    0.44888056E-07 
12    40    0.13175513E-04 
12    41    -0.13038189E-04 
12    42    -0.16117614E-04 
12    43    0.58295722E-04 
12    44    0.60087272E-05 
12    45    -0.38508726E+00 
12    46    -0.36238756E-04 
12    47    0.15129086E+00 
12    48    -0.51062534E+00 
12    49    0.93815936E-01 
12    50    0.12896565E+00 
12    51    -0.70716240E-04 
12    52    -0.15131434E+00 
12    53    0.51070621E+00 
12    54    -0.93822338E-01 
12    55    0.12898869E+00 
12    56    0.95817224E-04 
MO:13   -0.81493772E+00
13    1    -0.11838682E-01 
13    2    0.28422232E-01 
13    3    -0.87801457E-02 
13    4    0.39968806E-06 
13    5    0.50538943E-04 
13    6    -0.15430933E-01 
13    7    0.37601169E-01 
13    8    -0.12623241E-01 
13    9    0.70350875E-02 
13    10    0.87332249E-04 
13    11    -0.40170614E-01 
13    12    0.97494159E-01 
13    13    -0.21740240E-01 
13    14    0.33675727E-01 
13    15    0.22236568E-03 
13    16    -0.11775238E+00 
13    17    0.27719579E+00 
13    18    -0.90461948E-01 
13    19    0.99387483E-06 
13    20    -0.41717195E-03 
13    21    -0.40170843E-01 
13    22    0.97494591E-01 
13    23    -0.21741376E-01 
13    24    -0.33677130E-01 
13    25    0.22228937E-03 
13    26    -0.15430397E-01 
13    27    0.37600027E-01 
13    28    -0.12621722E-01 
13    29    -0.70358732E-02 
13    30    0.88048376E-04 
13    31    0.48960721E-02 
13    32    0.17814166E-01 
13    33    0.17812075E-01 
13    34    0.48962332E-02 
13    35    -0.20233342E+00 
13    36    0.65398363E+00 
13    37    0.41613403E-01 
13    38    0.21204146E-04 
13    39    0.70604588E-01 
13    40    0.12897558E+00 
13    41    0.12897118E+00 
13    42    -0.19097388E-03 
13    43    0.10954035E-02 
13    44    -0.80429618E-02 
13    45    0.58135680E-06 
13    46    0.11570702E-04 
13    47    0.15489154E-02 
13    48    -0.53455711E-02 
13    49    -0.84481007E-04 
13    50    0.18479160E-02 
13    51    0.12610199E-05 
13    52    0.15493276E-02 
13    53    -0.53470116E-02 
13    54    -0.84150598E-04 
13    55    -0.18480893E-02 
13    56    0.92568671E-06 
MO:14   -0.72677046E+00
14    1    -0.13294621E+00 
14    2    0.33622749E+00 
14    3    -0.40950064E-01 
14    4    0.69314651E-05 
14    5    0.43894734E-03 
14    6    -0.10926266E+00 
14    7    0.27426296E+00 
14    8    -0.15755524E-01 
14    9    0.64557695E-01 
14    10    0.42569624E-03 
14    11    -0.83178804E-01 
14    12    0.20669895E+00 
14    13    0.48945739E-01 
14    14    0.37052941E-01 
14    15    0.12693966E-04 
14    16    -0.49603598E-01 
14    17    0.13161379E+00 
14    18    0.98213619E-01 
14    19    0.13586950E-05 
14    20    0.66660933E-03 
14    21    -0.83178442E-01 
14    22    0.20669811E+00 
14    23    0.48945263E-01 
14    24    -0.37050445E-01 
14    25    0.11256978E-04 
14    26    -0.10926721E+00 
14    27    0.27427346E+00 
14    28    -0.15747968E-01 
14    29    -0.64565101E-01 
14    30    0.42995819E-03 
14    31    0.48311308E-01 
14    32    0.35239925E-01 
14    33    0.35238573E-01 
14    34    0.48315933E-01 
14    35    0.63600061E-01 
14    36    -0.21347218E+00 
14    37    0.35853802E-01 
14    38    -0.78049039E-05 
14    39    -0.26718224E-01 
14    40    -0.56915651E-01 
14    41    -0.56912992E-01 
14    42    -0.16668785E-01 
14    43    0.63765855E-01 
14    44    -0.15028727E+00 
14    45    0.18200475E-05 
14    46    0.22173985E-03 
14    47    0.24532055E-01 
14    48    -0.89048388E-01 
14    49    -0.99036201E-02 
14    50    0.27108622E-01 
14    51    0.28310474E-04 
14    52    0.24532288E-01 
14    53    -0.89049150E-01 
14    54    -0.99010397E-02 
14    55    -0.27105929E-01 
14    56    0.23470784E-04 
MO:15   -0.64584259E+00
15    1    -0.12686024E+00 
15    2    0.33987383E+00 
15    3    0.90139324E-01 
15    4    0.35235586E-04 
15    5    0.10183952E-03 
15    6    -0.15852944E-01 
15    7    0.44931991E-01 
15    8    0.10419492E+00 
15    9    0.43397459E-01 
15    10    -0.26898712E-03 
15    11    0.88406008E-01 
15    12    -0.23191028E+00 
15    13    0.29967507E-01 
15    14    -0.54499951E-01 
15    15    -0.57794852E-04 
15    16    0.10579466E+00 
15    17    -0.29146333E+00 
15    18    -0.93868782E-01 
15    19    0.32821617E-04 
15    20    0.11572140E-03 
15    21    0.88340029E-01 
15    22    -0.23173688E+00 
15    23    0.30000952E-01 
15    24    0.54508944E-01 
15    25    -0.58044647E-04 
15    26    -0.15923522E-01 
15    27    0.45117028E-01 
15    28    0.10415967E+00 
15    29    -0.43394824E-01 
15    30    -0.26801476E-03 
15    31    0.15829702E-01 
15    32    -0.54293154E-01 
15    33    -0.54242715E-01 
15    34    0.15873946E-01 
15    35    -0.60910877E-01 
15    36    0.21475729E+00 
15    37    -0.11078556E+00 
15    38    0.19593021E-04 
15    39    0.33266017E-01 
15    40    0.81715177E-01 
15    41    0.81719604E-01 
15    42    -0.50974215E-01 
15    43    0.19447935E+00 
15    44    -0.29319100E+00 
15    45    -0.98680256E-06 
15    46    0.40653688E-03 
15    47    0.44825229E-01 
15    48    -0.17109826E+00 
15    49    -0.33603666E-01 
15    50    0.40107009E-01 
15    51    0.56094530E-04 
15    52    0.44819940E-01 
15    53    -0.17107756E+00 
15    54    -0.33597816E-01 
15    55    -0.40097049E-01 
15    56    0.48734577E-04 
MO:16   -0.63389177E+00
16    1    0.31194131E-04 
16    2    -0.85980526E-04 
16    3    -0.34939502E-04 
16    4    0.12874432E+00 
16    5    -0.45814032E-05 
16    6    0.12565351E+00 
16    7    -0.33529592E+00 
16    8    0.68113304E-01 
16    9    0.13215968E-01 
16    10    -0.68125596E-03 
16    11    0.12987556E+00 
16    12    -0.34471780E+00 
16    13    -0.59197628E-01 
16    14    0.13619709E-01 
16    15    -0.25157895E-03 
16    16    -0.28461736E-04 
16    17    0.79782813E-04 
16    18    0.23580217E-04 
16    19    0.14681283E+00 
16    20    -0.42963955E-05 
16    21    -0.12991594E+00 
16    22    0.34482564E+00 
16    23    0.59177662E-01 
16    24    0.13595818E-01 
16    25    0.24735274E-03 
16    26    -0.12564563E+00 
16    27    0.33527288E+00 
16    28    -0.68159329E-01 
16    29    0.13231711E-01 
