#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -18.51557
10    27    -0.00583 
10    28    -0.00503 
10    29    0.00022 
10    30    0.00002 
10    31    -0.00027 
10    32    -0.00648 
10    33    -0.00704 
10    34    -0.00028 
10    35    -0.00003 
10    36    0.00057 
10    37    -0.00014 
10    38    0.00001 
10    39    -0.00005 
10    40    -0.00020 
10    41    -0.00021 
10    42    0.00002 
10    43    -0.00011 
10    44    -0.00009 
10    45    -0.00000 
10    46    -0.00000 
10    47    0.00001 
10    48    -0.00002 
10    49    -0.00003 
10    50    -0.00001 
10    51    0.00000 
10    52    0.00000 
10    53    -0.00002 
10    54    -0.00002 
10    55    0.00001 
10    56    0.00000 
MO:11   -1.06241
11    1    -0.02567 
11    2    0.04988 
11    3    -0.03209 
11    4    -0.00000 
11    5    0.00001 
11    6    -0.00429 
11    7    0.01010 
11    8    -0.00483 
11    9    0.00469 
11    10    0.00000 
11    11    -0.00044 
11    12    0.00114 
11    13    -0.00077 
11    14    0.00007 
11    15    0.00000 
11    16    -0.00019 
11    17    0.00046 
11    18    -0.00023 
11    19    0.00000 
11    20    -0.00000 
11    21    -0.00044 
11    22    0.00114 
11    23    -0.00077 
11    24    -0.00007 
11    25    0.00000 
11    26    -0.00429 
11    27    0.01010 
11    28    -0.00483 
11    29    -0.00469 
11    30    0.00000 
11    31    0.00251 
11    32    0.00007 
11    33    0.00007 
11    34    0.00251 
11    35    -0.00003 
11    36    0.00008 
11    37    -0.00004 
11    38    0.00000 
11    39    -0.00001 
11    40    0.00001 
11    41    0.00001 
11    42    -0.18278 
11    43    0.54360 
11    44    -0.10371 
11    45    0.00004 
11    46    -0.00007 
11    47    -0.11268 
11    48    0.34795 
11    49    0.07222 
11    50    -0.13500 
11    51    -0.00005 
11    52    -0.11265 
11    53    0.34786 
11    54    0.07220 
11    55    0.13496 
11    56    -0.00007 
MO:12   -0.87332
12    1    -0.00000 
12    2    0.00001 
12    3    -0.00000 
12    4    -0.01861 
12    5    0.00000 
12    6    -0.00527 
12    7    0.01180 
12    8    -0.00687 
12    9    0.00116 
12    10    0.00000 
12    11    -0.00070 
12    12    0.00204 
12    13    -0.00129 
12    14    -0.00001 
12    15    0.00000 
12    16    -0.00000 
12    17    0.00000 
12    18    -0.00000 
12    19    -0.00038 
12    20    -0.00000 
12    21    0.00070 
12    22    -0.00204 
12    23    0.00129 
12    24    -0.00001 
12    25    -0.00000 
12    26    0.00527 
12    27    -0.01179 
12    28    0.00687 
12    29    0.00116 
12    30    0.00000 
12    31    0.00655 
12    32    0.00017 
12    33    -0.00017 
