39.0  0.99936176 0.00002893 0.00000390 0.00016441 0.00000551 0.00001862 0.00006519 0.00012545 0.00003063 0.00019560  1.00000000
39.5  0.99928806 0.00006299 0.00000252 0.00013770 0.00000527 0.00000379 0.00009130 0.00010598 0.00002663 0.00027576  1.00000000
40.0  0.99931123 0.00005744 0.00000215 0.00015161 0.00001298 0.00000708 0.00010715 0.00010207 0.00002155 0.00022674  1.00000000
40.5  0.99931375 0.00010569 0.00000210 0.00014946 0.00002283 0.00001044 0.00013664 0.00010514 0.00002511 0.00012884  1.00000000
41.0  0.99929912 0.00008827 0.00000108 0.00015471 0.00003324 0.00001204 0.00014464 0.00007791 0.00002931 0.00015968  1.00000000
41.5  0.99915772 0.00013991 0.00000259 0.00012885 0.00004704 0.00000129 0.00014755 0.00005955 0.00002917 0.00028634  1.00000000
42.0  0.99916902 0.00011843 0.00000113 0.00012948 0.00005031 0.00001831 0.00013482 0.00008275 0.00001157 0.00028417  1.00000000
42.5  0.99915478 0.00015163 0.00000195 0.00015469 0.00003868 0.00001089 0.00014440 0.00009200 0.00002195 0.00022904  1.00000000
43.0  0.99918738 0.00014098 0.00000158 0.00012426 0.00005613 0.00000702 0.00015416 0.00009041 0.00003202 0.00020606  1.00000000
43.5  0.99912675 0.00013636 0.00000161 0.00014256 0.00005505 0.00000996 0.00014378 0.00006090 0.00003251 0.00029050  1.00000000
44.0  0.99914133 0.00013976 0.00000203 0.00015053 0.00005054 0.00002306 0.00008947 0.00009664 0.00001756 0.00028908  1.00000000
44.5  0.99929545 0.00010693 0.00000109 0.00010443 0.00005607 0.00000972 0.00005690 0.00010526 0.00004037 0.00022377  1.00000000
45.0  0.99922791 0.00011880 0.00000154 0.00012797 0.00005122 0.00000811 0.00004265 0.00016711 0.00005975 0.00019494  1.00000000
45.5  0.99927008 0.00006465 0.00000047 0.00011361 0.00006508 0.00002541 0.00002240 0.00018270 0.00003297 0.00022263  1.00000000
46.0  0.99930849 0.00008144 0.00000088 0.00011769 0.00000446 0.00001194 0.00001701 0.00019638 0.00006251 0.00019920  1.00000000
46.5  0.99928585 0.00003179 0.00000046 0.00018578 0.00000003 0.00000744 0.00003320 0.00028116 0.00001508 0.00015921  1.00000000
47.0  0.99934547 0.00003897 0.00000029 0.00017521 0.00000030 0.00002133 0.00005569 0.00020476 0.00004174 0.00011624  1.00000000
47.5  0.99940753 0.00000920 0.00000024 0.00017172 0.00000354 0.00001966 0.00005250 0.00019090 0.00001879 0.00012591  1.00000000
48.0  0.99940860 0.00001117 0.00000160 0.00014643 0.00000588 0.00000331 0.00006496 0.00021763 0.00002135 0.00011906  1.00000000
48.5  0.99937792 0.00000139 0.00000076 0.00013410 0.00000033 0.00000263 0.00010984 0.00024862 0.00002126 0.00010315  1.00000000
49.0  0.99940278 0.00000113 0.00000129 0.00012483 0.00000799 0.00001698 0.00011848 0.00022432 0.00003558 0.00006661  1.00000000
49.5  0.99935185 0.00000794 0.00000093 0.00010770 0.00000550 0.00004495 0.00013761 0.00020200 0.00002716 0.00011435  1.00000000
50.0  0.99933180 0.00001207 0.00000093 0.00009706 0.00000069 0.00005707 0.00013108 0.00022381 0.00002100 0.00012449  1.00000000
50.5  0.99926901 0.00002751 0.00000080 0.00009637 0.00000124 0.00003800 0.00011642 0.00024736 0.00002144 0.00018185  1.00000000
51.0  0.99926988 0.00004241 0.00000110 0.00010430 0.00000151 0.00001337 0.00011979 0.00022555 0.00003145 0.00019064  1.00000000
