#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -18.50346
7    53    -0.00006 
7    54    -0.00001 
7    55    0.00003 
7    56    -0.00000 
MO:8   -9.75842
8    1    0.03528 
8    2    -0.01254 
8    3    -0.00469 
8    4    0.00017 
8    5    0.00001 
8    6    0.71360 
8    7    0.03350 
8    8    0.00103 
8    9    0.00094 
8    10    -0.00001 
8    11    -0.03675 
8    12    -0.00904 
8    13    0.00497 
8    14    -0.00030 
8    15    -0.00002 
8    16    -0.00033 
8    17    0.00124 
8    18    -0.00041 
8    19    -0.00001 
8    20    0.00000 
8    21    -0.03539 
8    22    -0.00868 
8    23    0.00477 
8    24    0.00030 
8    25    -0.00002 
8    26    0.68377 
8    27    0.03211 
8    28    0.00099 
8    29    -0.00091 
8    30    -0.00001 
8    31    -0.00692 
8    32    0.00045 
8    33    0.00043 
8    34    -0.00664 
8    35    0.00002 
8    36    -0.00013 
8    37    0.00011 
8    38    0.00000 
8    39    0.00000 
8    40    -0.00003 
8    41    -0.00003 
8    42    0.00001 
8    43    0.00025 
8    44    0.00009 
8    45    -0.00000 
8    46    -0.00000 
8    47    0.00001 
8    48    -0.00004 
8    49    -0.00008 
8    50    0.00003 
8    51    0.00000 
8    52    0.00001 
8    53    -0.00003 
8    54    -0.00008 
8    55    -0.00003 
8    56    0.00000 
MO:9   -9.74926
9    1    0.00010 
9    2    -0.00001 
9    3    -0.00001 
9    4    0.00025 
9    5    0.00000 
9    6    0.03402 
9    7    -0.00571 
9    8    -0.00483 
9    9    0.00007 
9    10    0.00002 
9    11    0.72871 
9    12    0.03322 
9    13    -0.00044 
9    14    0.00081 
9    15    0.00003 
9    16    0.00051 
9    17    -0.00057 
9    18    0.00020 
9    19    0.00805 
9    20    0.00000 
9    21    -0.66901 
9    22    -0.03047 
9    23    0.00041 
9    24    0.00074 
9    25    -0.00003 
9    26    -0.03083 
9    27    0.00525 
9    28    0.00443 
9    29    0.00008 
9    30    -0.00002 
9    31    -0.00013 
9    32    -0.00696 
9    33    0.00638 
9    34    0.00011 
9    35    -0.00000 
9    36    0.00002 
9    37    -0.00001 
9    38    -0.00023 
9    39    -0.00000 
